piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A03;MERIKANNONTIE;25495193;6673910;2;500;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;600;2011;1;1;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;615;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;630;2011;5;0;0;0;0;0;0;5
A03;MERIKANNONTIE;25495193;6673910;2;645;2011;4;0;0;0;0;0;0;4
A03;MERIKANNONTIE;25495193;6673910;2;700;2011;2;0;0;0;0;0;0;2
A03;MERIKANNONTIE;25495193;6673910;2;715;2011;6;1;1;0;0;0;0;8
A03;MERIKANNONTIE;25495193;6673910;2;730;2011;22;2;0;0;0;0;0;24
A03;MERIKANNONTIE;25495193;6673910;2;745;2011;22;5;0;0;1;0;0;28
A03;MERIKANNONTIE;25495193;6673910;2;800;2011;30;0;0;0;0;0;0;30
A03;MERIKANNONTIE;25495193;6673910;2;815;2011;18;3;0;0;0;0;0;21
A03;MERIKANNONTIE;25495193;6673910;2;830;2011;21;0;2;0;0;1;0;23
A03;MERIKANNONTIE;25495193;6673910;2;845;2011;17;3;0;0;0;0;0;20
A03;MERIKANNONTIE;25495193;6673910;2;900;2011;50;8;2;0;0;0;0;60
A03;MERIKANNONTIE;25495193;6673910;2;1000;2011;49;7;1;0;0;0;0;57
A03;MERIKANNONTIE;25495193;6673910;2;1100;2011;59;13;3;0;1;0;0;76
A03;MERIKANNONTIE;25495193;6673910;2;1200;2011;79;20;4;0;0;0;0;103
A03;MERIKANNONTIE;25495193;6673910;2;1300;2011;69;16;0;0;0;0;0;85
A03;MERIKANNONTIE;25495193;6673910;2;1400;2011;98;8;1;0;0;1;0;107
A03;MERIKANNONTIE;25495193;6673910;2;1500;2011;27;1;0;0;0;0;0;28
A03;MERIKANNONTIE;25495193;6673910;2;1515;2011;23;1;0;0;1;0;0;25
A03;MERIKANNONTIE;25495193;6673910;2;1530;2011;33;3;0;0;0;1;0;36
A03;MERIKANNONTIE;25495193;6673910;2;1545;2011;37;2;2;0;0;0;0;41
A03;MERIKANNONTIE;25495193;6673910;2;1600;2011;39;3;0;0;1;0;0;43
A03;MERIKANNONTIE;25495193;6673910;2;1615;2011;28;2;0;0;0;1;0;30
A03;MERIKANNONTIE;25495193;6673910;2;1630;2011;38;3;0;0;0;1;0;41
A03;MERIKANNONTIE;25495193;6673910;2;1645;2011;41;3;0;0;0;0;0;44
A03;MERIKANNONTIE;25495193;6673910;2;1700;2011;23;3;0;0;0;0;0;26
A03;MERIKANNONTIE;25495193;6673910;2;1715;2011;27;4;2;0;0;0;0;33
A03;MERIKANNONTIE;25495193;6673910;2;1730;2011;27;0;0;0;0;0;0;27
A03;MERIKANNONTIE;25495193;6673910;2;1745;2011;27;4;0;0;0;0;0;31
A03;MERIKANNONTIE;25495193;6673910;2;1800;2011;102;5;3;0;0;0;0;110
A03;MERIKANNONTIE;25495193;6673910;2;1900;2011;78;3;0;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;2;2000;2011;49;0;0;0;1;0;0;50
A03;MERIKANNONTIE;25495193;6673910;2;2100;2011;21;2;0;0;1;0;0;24
A03;MERIKANNONTIE;25495193;6673910;2;2200;2011;12;0;0;0;0;0;0;12
A03;MERIKANNONTIE;25495193;6673910;2;2300;2011;4;0;0;0;0;0;0;4
A04;MECHELININKATU;25495441;6673716;1;0;2011;41;4;0;0;5;0;0;50
A04;MECHELININKATU;25495441;6673716;1;100;2011;25;7;1;0;3;0;0;36
A04;MECHELININKATU;25495441;6673716;1;200;2011;30;2;1;0;0;0;0;33
A04;MECHELININKATU;25495441;6673716;1;300;2011;20;2;1;0;0;0;0;23
A04;MECHELININKATU;25495441;6673716;1;400;2011;38;4;3;0;0;0;0;45
A04;MECHELININKATU;25495441;6673716;1;500;2011;105;5;5;0;6;0;0;121
A04;MECHELININKATU;25495441;6673716;1;600;2011;73;3;2;0;1;0;0;79
A04;MECHELININKATU;25495441;6673716;1;615;2011;103;4;4;0;3;0;0;114
A04;MECHELININKATU;25495441;6673716;1;630;2011;130;4;6;0;4;1;0;144
A04;MECHELININKATU;25495441;6673716;1;645;2011;144;6;7;0;4;1;0;161
A04;MECHELININKATU;25495441;6673716;1;700;2011;126;23;7;1;2;0;0;159
A04;MECHELININKATU;25495441;6673716;1;715;2011;149;35;10;0;2;1;0;196
A04;MECHELININKATU;25495441;6673716;1;730;2011;165;28;8;0;2;0;0;203
A04;MECHELININKATU;25495441;6673716;1;745;2011;201;22;6;1;1;1;0;231
A04;MECHELININKATU;25495441;6673716;1;800;2011;195;28;6;0;3;2;0;232
A04;MECHELININKATU;25495441;6673716;1;815;2011;206;29;9;0;1;1;0;245
A04;MECHELININKATU;25495441;6673716;1;830;2011;230;28;6;0;1;3;0;265
A04;MECHELININKATU;25495441;6673716;1;845;2011;225;24;8;1;2;2;0;260
A04;MECHELININKATU;25495441;6673716;1;900;2011;682;133;26;0;5;2;0;846
A04;MECHELININKATU;25495441;6673716;1;1000;2011;552;110;24;2;6;1;0;694
A04;MECHELININKATU;25495441;6673716;1;1100;2011;573;93;32;2;5;1;0;705
A04;MECHELININKATU;25495441;6673716;1;1200;2011;572;109;26;6;9;0;0;722
A04;MECHELININKATU;25495441;6673716;1;1300;2011;531;80;29;2;6;1;0;648
A04;MECHELININKATU;25495441;6673716;1;1400;2011;557;92;31;0;6;1;0;686
A04;MECHELININKATU;25495441;6673716;1;1500;2011;158;18;5;2;1;1;0;184
A04;MECHELININKATU;25495441;6673716;1;1515;2011;172;12;2;1;3;2;0;190
A04;MECHELININKATU;25495441;6673716;1;1530;2011;163;14;4;0;1;1;0;182
A04;MECHELININKATU;25495441;6673716;1;1545;2011;182;11;2;0;2;1;0;197
A04;MECHELININKATU;25495441;6673716;1;1600;2011;202;19;2;0;2;1;0;225
A04;MECHELININKATU;25495441;6673716;1;1615;2011;176;10;4;0;0;1;0;190
A04;MECHELININKATU;25495441;6673716;1;1630;2011;176;13;5;0;1;1;0;195
A04;MECHELININKATU;25495441;6673716;1;1645;2011;156;12;2;1;1;0;0;172
A04;MECHELININKATU;25495441;6673716;1;1700;2011;166;9;4;1;2;1;0;182
A04;MECHELININKATU;25495441;6673716;1;1715;2011;171;8;5;0;0;1;0;184
A04;MECHELININKATU;25495441;6673716;1;1730;2011;153;10;5;0;1;2;0;169
A04;MECHELININKATU;25495441;6673716;1;1745;2011;155;12;1;0;0;0;0;168
A04;MECHELININKATU;25495441;6673716;1;1800;2011;565;38;9;0;4;1;0;616
A04;MECHELININKATU;25495441;6673716;1;1900;2011;483;13;7;0;3;7;0;506
A04;MECHELININKATU;25495441;6673716;1;2000;2011;478;3;6;0;2;6;0;489
A04;MECHELININKATU;25495441;6673716;1;2100;2011;248;19;1;0;1;5;0;269
A04;MECHELININKATU;25495441;6673716;1;2200;2011;143;10;1;0;1;3;0;155
A04;MECHELININKATU;25495441;6673716;1;2300;2011;74;9;1;0;4;1;0;88
A04;MECHELININKATU;25495441;6673716;2;0;2011;52;3;0;0;7;0;0;62
A04;MECHELININKATU;25495441;6673716;2;100;2011;44;4;1;0;6;0;0;55
A04;MECHELININKATU;25495441;6673716;2;200;2011;32;4;2;0;0;0;0;38
A04;MECHELININKATU;25495441;6673716;2;300;2011;31;2;1;0;1;0;0;35
A04;MECHELININKATU;25495441;6673716;2;400;2011;31;2;3;0;0;0;0;36
A04;MECHELININKATU;25495441;6673716;2;500;2011;78;10;7;0;1;0;0;96
A04;MECHELININKATU;25495441;6673716;2;600;2011;42;5;2;0;0;0;0;49
A04;MECHELININKATU;25495441;6673716;2;615;2011;50;6;3;0;0;0;0;59
A04;MECHELININKATU;25495441;6673716;2;630;2011;69;9;4;0;0;0;0;82
A04;MECHELININKATU;25495441;6673716;2;645;2011;76;9;4;0;0;0;0;89
A04;MECHELININKATU;25495441;6673716;2;700;2011;102;20;7;0;1;0;0;130
A04;MECHELININKATU;25495441;6673716;2;715;2011;142;12;3;1;0;0;0;158
