piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A02;LAPINLAHDEN SILTA;25494579;6672693;1;630;2011;238;131;15;11;25;3;0;420
A02;LAPINLAHDEN SILTA;25494579;6672693;1;645;2011;409;81;11;8;29;1;0;538
A02;LAPINLAHDEN SILTA;25494579;6672693;1;700;2011;429;50;15;3;27;8;0;524
A02;LAPINLAHDEN SILTA;25494579;6672693;1;715;2011;527;36;7;6;26;3;0;602
A02;LAPINLAHDEN SILTA;25494579;6672693;1;730;2011;716;39;10;1;36;5;0;802
A02;LAPINLAHDEN SILTA;25494579;6672693;1;745;2011;834;42;6;6;30;14;0;918
A02;LAPINLAHDEN SILTA;25494579;6672693;1;800;2011;901;24;5;4;26;10;0;960
A02;LAPINLAHDEN SILTA;25494579;6672693;1;815;2011;852;39;8;1;35;3;0;935
A02;LAPINLAHDEN SILTA;25494579;6672693;1;830;2011;830;30;8;3;33;9;0;904
A02;LAPINLAHDEN SILTA;25494579;6672693;1;845;2011;711;35;3;4;34;7;0;787
A02;LAPINLAHDEN SILTA;25494579;6672693;1;900;2011;1928;168;37;8;97;22;0;2238
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1000;2011;1091;178;30;6;63;22;0;1368
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1100;2011;1147;149;35;14;54;9;0;1399
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1200;2011;1209;121;42;24;70;9;0;1466
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1300;2011;1074;106;41;25;65;15;0;1311
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1400;2011;1055;129;45;22;84;15;0;1335
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1500;2011;308;35;10;8;25;7;0;386
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1515;2011;310;22;4;11;23;6;0;370
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1530;2011;374;31;5;8;32;2;0;450
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1545;2011;331;28;11;4;25;2;0;399
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1600;2011;408;24;8;5;32;3;0;477
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1615;2011;460;19;5;8;28;6;0;520
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1630;2011;432;23;7;9;32;7;0;503
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1645;2011;400;19;4;6;27;9;0;456
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1700;2011;383;18;4;10;31;7;0;446
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1715;2011;404;18;0;9;23;5;0;454
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1730;2011;394;10;7;10;25;4;0;446
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1745;2011;384;20;4;9;27;8;0;444
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1800;2011;1223;62;17;17;93;44;0;1412
A02;LAPINLAHDEN SILTA;25494579;6672693;1;1900;2011;1061;58;5;28;32;8;0;1184
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2000;2011;899;42;9;15;48;8;0;1013
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2100;2011;541;25;5;9;29;2;0;609
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2200;2011;321;16;3;6;18;1;0;364
A02;LAPINLAHDEN SILTA;25494579;6672693;1;2300;2011;233;11;3;4;13;1;0;264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;0;2011;158;8;2;3;8;0;0;179
A02;LAPINLAHDEN SILTA;25494579;6672693;2;100;2011;100;5;1;2;6;0;0;114
A02;LAPINLAHDEN SILTA;25494579;6672693;2;200;2011;54;3;1;1;3;0;0;62
A02;LAPINLAHDEN SILTA;25494579;6672693;2;300;2011;47;2;1;1;2;0;0;53
A02;LAPINLAHDEN SILTA;25494579;6672693;2;400;2011;37;2;0;1;2;0;0;42
A02;LAPINLAHDEN SILTA;25494579;6672693;2;500;2011;83;4;1;1;5;0;0;94
A02;LAPINLAHDEN SILTA;25494579;6672693;2;600;2011;40;3;3;1;1;0;0;48
A02;LAPINLAHDEN SILTA;25494579;6672693;2;615;2011;85;6;2;3;8;0;0;104
A02;LAPINLAHDEN SILTA;25494579;6672693;2;630;2011;109;17;2;2;7;1;0;137
A02;LAPINLAHDEN SILTA;25494579;6672693;2;645;2011;147;22;7;4;10;1;0;190
A02;LAPINLAHDEN SILTA;25494579;6672693;2;700;2011;171;16;1;15;13;2;0;216
A02;LAPINLAHDEN SILTA;25494579;6672693;2;715;2011;199;25;4;10;26;2;0;264
A02;LAPINLAHDEN SILTA;25494579;6672693;2;730;2011;299;26;6;13;34;5;0;378
